Percent Raw
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
 0 756
